,Type,Name,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,PetScore,Emotion,Breed,Colors
10,2,Si Kuning,24,1,3,1,2,2,2,2,1,0,41324,e6ea7180b4e5320b0006e6e2f65397d9,0,"Saya jumpa kucing ini yang datang di rumah. Mungkin ada orang yang buang. Keadaanya amat teruk dengan cedera dan kurap yang tebal. Saya telah membawanya ke Jabatan Haiwan untuk suntikan kurap dan merawat lukanya. Syukur kurapnya semakin baik. Cuma sedikit luka dalam proses untuk kering. Saya telah menjaganya lebih kurang satu bulan lebih. Masalah saya sekarang, si kurap tidak ngam dengan kucing jantan saya. Asyik bergaduh. Itu yg lukanya tidak baik2. Jadi saya mengambil keputusan untuk mencari sesiapa yg sudi untuk adopt dia. Dia seekor kucing yg manja, jinak dan mudah di dekati. Sesiapa yang sudi untuk mengadopt beliau sila hubungi saya melalui emel terima kasih.",370fe2afb,12,3,3,content,Domestic Short Hair,Yellow
11,2,Manja,19,2,3,3,1,1,2,1,1,0,41401,12c51d7222986fbf000db9061f5082be,0,,5e4154870,3,1,2.5,mean,Persian,"Black, Gray"
12,2,Meelow,2,1,1,2,2,2,2,1,1,0,41401,1004c35eccb48a99a16726b45f0d7baa,0,"healty,playfull and manja sangat.",5247209aa,2,2,4,playful,Domestic Medium Hair,Golden
13,1,,3,3,2,2,1,1,2,1,3,150,41326,4adf17f7d78a2ea23a77ff056b5e7779,0,These three adorable puppies are found at the back of a friend's house. They sought shelter at a wooden pallet in the bushes but it was not enough to shelter them from the rain. Please give them a chance to lead a healthy and happy life with you and your family. Bring them home and make them your life-long companion.,c61f6507e,3,1,7.5,playful,Mixed Breed,"Black, Brown"
14,1,KT(female) & TM (male),0,3,3,1,3,3,3,1,2,0,41326,93b9bd02cfbd0944686ceee8798b9eec,0,"I found 2 puppies at Ktm station teluk pulai, klang parking lot.As there is many car moving in and out in that area,i worried they will get roll over by car. I don't want send them to SPCA because they will put them to sleep if no one adopting them and I can't adopt them because I already adopt 3 stray dog in front of my house. They are healthy and adorable! I'm now fostering them and i looking for dog lovers to adopt them. Anyone want to adopt Pls call me at (chew). Adopters must agree to fully vaccinated them and also spay them when they reach 6 months old.",392d3346e,4,1,8,sad,Mixed Breed,"Black, Brown"
15,2,Manja,7,2,2,1,1,1,2,1,1,0,41326,f1ef4bef6ae16604d7a9025549d267e9,0,Cat for adoption,b36616178,7,2,7,content,Mixed Breed,"Black, Yellow"
16,1,Winnie,4,2,2,1,1,2,2,1,1,0,41332,a122520ed8898a9d95086890fd0e3f1d,0,"Healthy, Active, very Alert. Already have two dogs, ( parents of this)",e4abb93bf,2,3,8,sad,Mixed Breed,"Black, White"
17,1,Nutella,2,2,2,1,1,1,2,1,1,0,41326,0008ef529da74e9701db7eaaa4d9115a,0,"She used to follow a pack of adult dogs near my office area. But my office area is not a dog-friendly place. One restaurant here always complain to DBKL (which could have caught all the adult dogs of her pack). So, yesterday she was left alone and deserted. Please, anyone can giv her a home? I have about 20cats. Seriously can't afford to take her in.",d7f938acd,4,1,8.5,happy,Mixed Breed,Brown
18,1,Pups For Adoption,2,3,2,1,3,3,3,1,8,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,Pls call Adrian at to view/adopt the puppies. Please pass the message around These puppies were found abandoned by the roadside and a kind Samaritan help to foster them.,03b0568b3,5,3,7,sad,Mixed Breed,"Black, Brown"
19,2,Stalin And Churchill,12,1,2,1,1,1,1,1,2,0,41401,f058aca9038b401cfaaec762e14766da,0,These cats are free of charge for adoption. Both of them have been vaccinated and desexualised. The documents for vaccination and desexualisation are available.,d0bc14f47,2,4,5,playful,Mixed Breed,"Golden, White"
20,1,Simone,24,2,2,1,1,1,1,1,1,0,41326,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,"Simone is friendly, a little bit shy, at times. Steady and quiet, characteristics which makes her a good companion dog. She has completed a full course of 3 vaccinations and neutered.. If you are committed to looking after her for life, then please call or whatsapp me, Jocelyn at. I seek reimbursement of all 3 vaccinations fee amounting to rm90. I am an independent rescuer. Money collected back go back into helping to feed street dogs and pay for medical care for other dogs in my care.",bea72e6c5,24,4,5,content,Mixed Breed,"Brown, White"
21,1,Butter,16,2,1,1,1,1,3,1,1,0,41401,b37cf354602be319b4d56cf07e7bb4f4,0,"Butter is a very cute dog but unfortunately i have do not have much time take care of her due to travelling issue. I wish someone is very loving dog and gentle willing to take the responsible. If do not mind, i wish i may visit her after sometimes.",1eb8a0278,3,1,7.25,happy,Mixed Breed,"Cream, White"
22,2,PF 14928 -- Bobo,13,2,2,1,2,1,2,1,1,0,41326,63f669053385440aab45382b0c925927,0,Very happy playing with kittens younger than her.She enjoys playing with the 4 months old kitten that is up for adoption too. She was a very timid and scared kitten. Most probably been abused by people and bullied by adult cats. Now I have gained her confidenced and is able to stroke her. She is also toilet trained. By Nov 10 now she is no longer scared. She is joyful and playful now. By now I named her Bobo. She knows her name and feels comfortable when I cuddle her. No longer scare and wags her tail like spinning flower when told to do so. She also gets along well with other cats.,38a81271c,5,4,1,content,Domestic Short Hair,"Brown, Golden"
23,1,Spongebob,3,1,2,1,1,1,1,1,1,0,41326,2864803699884df90ac135583b02ec70,0,ADOPTION FEE IS A DONATION OF YOUR CHOICE. Spongebob was born on the KBU campus and saved from being thrown out onto the streets. He is % healthy and is toilet trained to go on paper. Very friendly with other dogs and people. Loves to play. Must go to a home where he will get adequate exercise - NO CHAINS OR CAGES.,65d10be4d,3,3,6,playful,Mixed Breed,"Black, White"
24,2,Oyen,10,2,2,1,1,1,1,1,1,0,41401,930a31cee18dfc2911633da8668a0e3b,0,"This girl was adopted last year but the adopter wants to return her due to family problems. She's a sweet and loving girl. Terms & conditions : 1. No unnecessary caging 2. Must keep indoor 3. Must provide basic medical treatment ie. vaccine, deworm, deflea etc 4. Must update me from time to time",8f85e69ee,8,3,5.333333333,content,Domestic Short Hair,Yellow
25,1,The Bidi Budu Bubu Boy,60,1,2,2,1,1,1,1,1,0,41326,39d5ffacd8e7420d8d4e26177f63cfae,0,"Hi, A beautiful, fun, loving, clever and handsome boy up for adoption. Boy has a beautiful coat and googly eyes. Meet Bidi Budu Bubu Boy. He was rescued on May 14th from the dog catcher. The rescuer took him back from the pound less than 4 hours he was sent there. He was destined for a forever home. Unfortunately, the adopters don't want him anymore and due to his nature of lovingness, he can't be left at the road side. Nobody will ever know the boy's history but am sure he went through some bad times in order for him to be caught by the dog catches. The Bidi Budu Bubu Boy is well-behaved, doesn't bark unnecessarily, doesn't mess up the garden, bite shoes or any of that sorts. So, whatever may be, you will end up with a loving darling of a boy. Please provide a loving home for him as he will make you a very happy person. Ps. Would prefer people who allow us visitation rights as we want to ensure the puppies are taken care off. Pss. Spaying & vaccination all will be done by this week. Boy is adoptable in 3 weeks.",b5fcc079e,5,3,6.666666667,content,Mixed Breed,"Brown, Yellow"
26,2,Meme,6,2,2,1,2,1,1,1,1,0,41326,7b107e61f7d24a581e46e0abc4d2a7a7,0,Friendly,00a1f270a,5,4,1,content,Domestic Short Hair,"Golden, White"
27,1,Zen Lee,3,2,3,1,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,Lovely puppy looking for a forever home. Commitment to spay is compulsory. If u are interested to adopt pls contact Amy,74e316be1,2,2,8,content,Mixed Breed,"Black, Brown"
28,1,Female - Unique Eye Colour (D133-060516),19,2,2,1,1,1,1,1,1,80,41326,d372aa7115ee3c2e5e4796462dec984b,0,"This is a young female dog (black/tan) at PAWS, Subang. Well trimmed toes, clean teeth(look young from teeth condition), very smooth coat, someone's lost dog? or Labrador mix? She has good attention span, very alert but not hyperactive and loves human. Guess what, she has very unique eye coloration. Please pay her a visit and PAWS, Subang and give her a chance to have a real family. D.O.B.: May [Vaccinated, dewormed, spayed] ID tag: D (see title) More info page : Adoption Page - PAWS PJ There are a lot more at the shelter, do drop by to visit / volunteer/donate.",82137b39f,3,4,3,"mean,scared",Mixed Breed,Black
29,2,Ginger,1,2,2,1,2,2,2,1,1,0,41326,3ca325f1d711439ac5a94cfd3b1b0ea1,0,"Found the poor thing while I was out for breakfast , she must have lost her mummy and was following everyone and everything that moves. She was nearly run over a few times !!! Should be less than a month as she still require bottle feeding You can whatsapp or contact me at or",72a7cb335,7,2,7,timid,Domestic Short Hair,"Golden, Cream"
30,2,Pepper,4,2,2,2,3,3,3,1,1,0,41401,a8b3555fb45de83bc3ae7d07046c02dc,1,This cute little kitten was found in the middle of a highway and rescued. This kitten likes to play and is looking for a loving family. Please give this adorable pet a chance and you wont regret it!,a27f0cc49,4,2,7,playful,Domestic Medium Hair,Cream
31,2,Manja Bella,13,2,2,2,1,1,2,1,1,0,41326,1ad11898cc488dcd84dcfdde98d66f8b,0,We rescued Manja about a year ago and have been living with us ever since. She was 1-2months old then. She is a mixed breed and according to the vet she is predominately amedium/long-haired persian mixed with a local breed. Manja have been vaccinated but have not been spayed. Very loving (as the name suggest) and playful. She normally adapt to a new person very quickly and love the company especially when it is sleeping/nap time We are expecting another baby in a few months time so we are not sure that we can give the right amount of attention that Manja deserves.,728c78b39,3,1,6,content,Mixed Breed,"Black, Gray"
32,2,Cham,8,1,2,1,1,1,1,1,1,0,41326,d8af7afece71334473575c9f70daf00d,0,"My cat's offspring Cham is lively and loves playing. although already 8 months, he's a mummy's boy!",c2346525a,2,2,7,content,Tabby,Golden
33,1,20 Little Puppies,1,3,3,1,2,1,2,1,20,50,41332,f8ac73e4e6354fca89ef2574d0bc50f5,0,"These are 20 puppies, from 2 stray mums need good homes. They are 2 weeks old. If you can give them a good home without caging or chaining, please whatsapp or msg Ms Grace Bong tel no:",d78d1dec0,5,4,6,sad,Mixed Breed,"Black, Brown"
34,2,Kittens For Adoption,2,3,1,2,2,2,2,1,4,0,41326,1e0b5a458b5b77f5af581d57ebf570b3,0,"i have four kittens in my house. they are the babies of my cat comot that i've posted earlier. but i'm not able to take care of them anymore because busy with works. besides, my house is a small flat, not suitable for my pets to play around inside the house. now i'm looking for a new caring and kind hearted owner for my little kittens. this is my last try before i have to decide to juz let them straying outside without owners.so, please.. if anyone interested with either 1 or 2 or 3 of them can contact me.",c675f3b10,7,2,10,happy,Mixed Breed,"Gray, White"
35,1,Mesky,3,1,2,2,2,2,2,1,1,0,41327,3223e1c4cb2bef48823ee5c604b9aa04,0,"Someone had dumped this husky mixed puppy at Devakie sisterÃ_Ã_Â»s neighborhood today. The puppy are around 3 months old. Devakie sister is appealing to anyone who is interested to adopt a puppy to save the puppy as she has already got 3 dogs in her home and could not take in more. Though she is feeding the puppies now but itÃ_Ã_Â»s still very risky to leave him on the street. Those who are interested to adopt the puppy, please give a call or SMS immediately to Devakie. Location: Gelugor, Penang.",d13d93f69,4,1,6,timid,Mixed Breed,"Cream, White"
36,1,Dango,2,2,2,1,1,1,2,1,1,0,41326,d4a8b5e64cd89e2f055b505383a8ee7a,0,"If contacting me via phone, would appreciate text/whatsapp first as it's not always convenient for me to attend to calls. ""Hi, will you take me home? I'm sweet like the Japanese dessert dango hence my temporary name. I'm also a bit shy, but I'll love you super quick if you have food! My mommy is a stray that my fosterer has been feeding. Not sure who my daddy is - maybe a handsome mastiff or sharpei? I've got these adorable face wrinkles that make people go awwww. I have two siblings looking for homes as well so do check out their profiles. I'm the only girl in the litter - the rose among the thorns, teehee! I will probably grow into a MEDIUM size dog, so please take this into account when you fall in love with my adorable mug yeah?"" Conditions for adoption: 1. No unnecessary tying/caging up. 2. Maintain medical needs (vaccinations, deworming, heartworm prevention etc.) 3. Neuter once old enough (approx 6 months). 4. Puppy-proof your compound. 5. Willing to train and tolerate typical puppy behaviour. 6. Love them unconditionally - puppies aren't toys, cherish them even after they outgrow their cuteness :) To help determine if you and the dog you're interested in are a good fit, would appreciate it if you could email/text with: - A brief intro of yourself - Your experience with dogs if any - Your household situation (what type of home you live in i.e. landed or apartment, whether you have other family members/friends living with you etc.) - Any other pertinent info that will help match you with the right pooch :)",ebd78e1d4,3,2,8.75,happy,Mixed Breed,"Black, Brown"
37,1,Carmen,2,2,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,She was given birth by her mother who is a pet of an irresponsible owner who didn't spay their pet. She was put in a box which was tied and leave only a tiny hole together with 6 other sibling and dump in a market in the middle of the night. Very beautiful puppies. No caging or tying for long hours except for precaution purposes. Commitment to spay her is compulsory Serious adopter pls call me.,0fb490c9b,3,1,8,playful,Mixed Breed,"Brown, White"
38,2,Meor For Free Adoption.,2,1,1,1,1,1,2,1,1,0,41326,c5f05a0937608368f162868db4d0bc87,0,"Meor is a very friendly kitten, i found him near a shoplot. i brought him to the vet for checked up and the doc said Meor is a healthy cat. Please whatsapp me if u want to see Meor.",0b4bb9906,5,1,6.5,playful,Domestic Medium Hair,Yellow
39,1,Mimi,36,2,2,2,1,1,1,1,1,0,41401,d71bf8652469d7c37ed212d0c97c3fd3,0,Mimi is a happy and active dog. Pls contact,aafb75ee8,2,2,8,playful,Mixed Breed,White
40,2,18 Cats For NEED HOMES!!,0,3,2,1,3,1,1,1,18,0,41326,0dfe04f967ae8d9e8f0e1513f4a90c5c,0,"YOU can CONTACT the couple at if you are interested. MORE pictures available here: THE HISTORY: They were basically abandoned by their previous owner who left them behind when he moved out. The couple that moved in was left to look after them and has slowly been finding homes for the cats over the last year. There were 28 to begin with and there are 18 left. The last 18 NEED HOMES URGENTLY as the couple is no longer able to care for them. Due to some personal issues, and a new baby then need to move out. None of the local pet associations are willing to take them on so it is once again left up to concerned caring citizens to help out and lend a hand. THIS is an URGENT call for HELP! These cats need homes within the NEXT TWO WEEKS. Please invite ALL your friends to this event which shall be on going until all the cats are rehomed. Invite them ALL because even if they themselves do not want a cat, they may know someone who knows someone who does. THANKS FOR CARING! soraya",b4d0c60b6,21,4,1,mean,Domestic Short Hair,"Black, Brown"
41,1,BOBO,74,1,2,2,3,1,3,1,1,0,41326,35e9eced28e869ff8bf6dce7a09cbe5c,0,"I have one smart male dogs with me, which I have to give away as I now have a child and sadly he is sensitive to the dogs fur, their details are as below. It is very hard for me to come to this decision, Do contact me if only you are an animal lover, Thank you so much. (for more enquries& BOBO (shi tzu) Male 6 years White & brown",1a9733afb,2,2,5,happy,Shih Tzu,"Brown, White"
42,2,Kitty 2,2,2,2,1,2,1,2,1,1,0,41401,b770bac0ca797cf1433c48a35d30c4cb,0,Rescuered by Ling. Already dewormed.,4dad8252f,1,1,3,happy,Domestic Short Hair,"Black, Yellow"
43,1,R11,1,1,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,Dog 4 Adoption,75bbaa3fa,1,2,6,content,Mixed Breed,Brown
44,1,Jack Black,3,1,2,1,1,1,2,1,1,0,41326,f45d8c72a87f27427cd28fc3cd2d7ce3,0,"Born to a lovely stray mom to a litter of 4. He is the only one left. Possibly others died of hunger and tick fever. Lil JB was rescued in the nick of time when his body was full w ticks. Managed to get rid all ticks, dewormed and vaccinated once. Next vaccination in end of Oct. He is one smart dog. He knows handshake and when I scolded him once, he knows it and will be more alert of his action when he sees my body language. He is a good guard dog even at this young age. He will bark when he saw something strange and went forward to check it out. He is not good with cats WHEN there is food. And er.. not good w dogs too when he is eating. Just imagine this lil pup protecting his food against other dogs 10times his size! And the other big dogs seems to obey him! He is one leader. Either that or a gangster :D",58a10d0cd,1,4,3,sad,Mixed Breed,"Black, White"
45,1,Butter,1,2,2,1,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,No tying or caging for long hours except for precautionary purposes. Commitment to spay her is compulsory Interested to adopt pls call me,3b1976326,6,2,7.5,playful,Mixed Breed,"Black, Brown"
46,2,Little,3,2,1,1,2,2,2,1,1,0,41327,0f546b6824512624be152dbf5ffaedf9,0,Has been adpted,30ea81bac,3,3,4,content,Domestic Short Hair,White
47,2,Oren & Comot,4,1,1,1,1,1,2,1,2,40,41401,69c67a58c4b1aa98f1f44aca7dfd6f42,0,Healthy playful young kitten,301e16ab9,5,4,5,playful,Domestic Short Hair,"Black, Golden"
48,1,Scooby,8,1,2,1,1,1,2,1,1,0,41401,78ec79634d350f6850fdd4a335cab431,0,"Scooby needs a HOME ... he had been rescued(with other 4 siblings)--rehomed for pass 5 months. decided took him back coz the x-owner can't take good care of him due to her personal health issues. Scooby is now temporary foster at a friend house,he can only stay there for a short period before friend move out..:( Pls let me know if you have any friends looking for a good dog!many thanks.",8705145ca,10,2,6.833333333,content,Mixed Breed,Brown
49,2,Tompok,18,2,2,1,2,2,2,1,1,0,41401,193749fbe4e607680f37a1bf5b898e32,0,"Dijumpai berkeliaran di sekitar pulau indah,klang. Telah melahirkan 4 ekor anak yang telah di adopted.",219a1308d,3,0,8,sad,Domestic Medium Hair,"Cream, White"
50,1,Hero,2,1,2,1,1,1,2,1,1,0,41326,e03a1162538a0414d6c79823ad6c2744,2,"Me and my friends found hero and his sister shero as well as some dead puppies bodies in the bushes at kuchai lama last week, and realized both of them with pale gum and tongue, weak and couldn't even walk and eat properly. so we sent then to the vet immediately for necessary medical treatment and he received blood transfusion the next after he admitted to vet. He is doing fine now and recovering. he is a male telomain, now 7-8 weeks old looking for a loving home. He will whine when he is hungry and need pee n poo. Hero : Will u give me a home? P/s : they aren't jus a dog nor a form of animal, they have feeling, they are able to feel your love, and willing to give theirs unconditionally.",c7575df7b,4,3,4,scared,Mixed Breed,"Black, Brown"
51,2,Tom,4,1,2,1,1,1,1,2,1,0,41326,da254828fea81df2ca2e807706e04b32,0,"Tom is a confident and alert cat. He watches his surrounding and is pretty careful . Once you gain his trust,he is really a black beauty ...love to be cuddled ,very adventurous,cheeky and a pretty playful kitten_Ã´Âê_ Neutered. First vaccination done. Potential adopter to follow up on second vaccination & subsequently on a yearly basis",dc1c9f8d5,5,3,5.75,timid,Domestic Short Hair,Black
52,1,,2,2,2,1,2,2,2,1,1,0,41401,0cdec657d1411b6f977df6f9ea712f7a,0,a friend found this stray puppy at his workplace and has been keeping her for a few days but could no longer keep her as people around started complaining. so i decided to foster her for the time being while looking for someone to adopt her. very energetic and hyper fella!,c8208c3c9,4,1,9.333333333,timid,Mixed Breed,"Black, Brown"
53,2,KFC,3,1,1,1,1,1,2,1,1,0,41401,7e8f6dedd6abd887a6932c6877a5c001,0,Rescued and Vaccinated/ Dewormed. Healthy cute & very active kitten.,75a4a14ac,6,2,6.5,timid,Domestic Short Hair,Yellow
54,2,Pretty,17,2,2,1,1,1,2,1,1,0,41326,031164e40f77b7b5bcffea3efc2c7318,0,She was adopted by a group of kids from an orphanage home and found out she was pregnant. They continued feeding her and two weeks back she have delivered to two adorable kittens. The kids convince me to bring her to the vet and get vaccinated and dewormed. Since we have kids in the shelter and the fur of cat could actually affects children's health. We are planning to give away the beautiful pretty's family to any animal lover out there who would take care just the kids did.,b28de653f,5,4,4.5,scared,Domestic Short Hair,"Black, Brown"
55,1,Bernie,5,1,2,1,1,1,2,1,1,0,41326,7f7f9fdf6a44a8ea7838bce15516a5a3,0,"Playful, obedient puppy. Great with other dogs. Very smart and not noisy. Loves cuddles and kisses. I rescued this dog from being tied on a short leash in a chinese shop. Please help spread the word. :)",60b188249,4,1,10,sad,Mixed Breed,"Black, Brown"
56,2,No Name,2,3,1,1,1,1,2,1,3,0,41326,6d4450db9ed0694270afb350bf5fdc0a,0,"Hi we are 1 brother and 2 sisters, 2 months old. We are living at the corridor but some people don't like us, they threw us to the dustbin. But we are strong enough to get back here and now we are looking for a home that welcome us.",044548f89,4,2,7,sad,Domestic Short Hair,"Black, Yellow"
57,1,Rambo,3,1,2,1,2,2,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,"A litter of pups were found in a pipeline & busy street. Our rescuer fearing they may be crushed just had to save them. They are frightened and hoping for a Tender, Loving, Care home. Please call or for further details on the adoption.",da8a47785,3,1,7,sad,Mixed Breed,Brown
58,2,Chi Chi,3,1,2,1,2,1,2,1,1,0,41326,c3e16cd29166b21c5c6bea9229257714,0,"Found the cat around my place, with 3 other cats. Kinked tail. Dewormed. Looking for good hearted animal lover to adopt him.",1f7d6b89e,2,3,3.5,mean,Domestic Short Hair,"Black, Gray"
59,2,,2,2,1,1,3,3,3,1,3,0,41326,816a8b685d84098d66d5c052e029342e,0,"Rescued this mother and 2 kittens from outside my house. There were 2 more kittens but they went missing, so please adopt them ASAP. They're a very cute family that needs TLC.",2b3ec0f96,5,3,10,content,Domestic Short Hair,"Yellow, Gray"
60,1,Raju,3,1,1,2,3,3,3,1,1,0,41401,a439ae920fab142f26afe66444654a29,0,Just rescued two days ago.. friendly puppy,87f4ea65f,2,4,5,"content,scared",Mixed Breed,Black
61,2,Chiko,1,2,1,2,2,1,2,1,1,0,41335,01324415629b56298d9756e3b6f8b2ba,0,Chiko is a loud and adorable kitten. She already toilet0trained and still learning to eat kibble. Prefer to be adopted in pairs. (with   Jessy) Please take note: Rm is imposed as a safe deposit which will be returned to the owner once the owner spay Chiko within 5 months. *COMMITMENT TO SPAY ChikO IS A COMPULSORY! tqvm!,f17d4ab32,10,4,4,content,Domestic Medium Hair,"Black, White"
62,1,Paris & London,2,2,2,1,2,1,2,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,Paris has a gentle temperament and very shy. ADopted by CM Chah in Cheras 5 April. London is friendly and truly adorable.,97dc6aa32,5,3,2,sad,Mixed Breed,"Black, Brown"
